Designator,Mid X,Mid Y,Rotation,Layer
12V1,63.09,-48.26,270.0,top
5V1,63.09,-124.0,270.0,top
AMP0,141.605,-131.97,180.0,top
AMP1,127.635,-131.97,180.0,top
AMP2,113.605,-131.97,180.0,top
AMP3,99.635,-131.97,180.0,top
AMP4,85.665,-131.97,180.0,top
AMP5,71.755,-131.97,180.0,top
C1,190.335,-113.63,0.0,top
C2,190.41,-118.88,0.0,top
C3,205.105,-109.855,0.0,top
D1,212.635,-97.155,180.0,top
ENC0,72.8,-50.19,90.0,top
ENC1,84.8,-50.19,90.0,top
ENC2,96.8,-50.19,90.0,top
ENC3,108.8,-50.19,90.0,top
ENC4,120.8,-50.19,90.0,top
ENC5,132.8,-50.19,90.0,top
I2C2,203.835,-131.97,180.0,top
IN0,190.08,-55.79,90.0,top
IN1,190.08,-41.64,90.0,top
IN2,202.08,-55.79,90.0,top
IN3,202.08,-41.64,90.0,top
J15,206.33,-106.67,90.0,top
J16,206.33,-86.35,270.0,top
J2,116.84,-95.885,90.0,top
J4,60.96,-75.565,0.0,top
J5,60.96,-113.665,0.0,top
MODBUS1,214.52,-115.57,270.0,top
OUT0,189.905,-131.97,180.0,top
OUT1,178.475,-131.97,180.0,top
OUT2,167.005,-131.97,180.0,top
OUT3,155.575,-131.97,180.0,top
PL2,166.245,-103.98,270.0,top
PL3,166.245,-86.74,270.0,top
R1,73.64,-80.43,0.0,top
R100,204.94,-80.39,0.0,top
R101,205.2275,-66.515,180.0,top
R102,174.7625,-110.04,180.0,top
R103,174.725,-123.715,0.0,top
R104,168.3875,-110.015,180.0,top
R105,168.9,-123.715,0.0,top
R106,162.4625,-110.015,180.0,top
R107,162.7375,-123.715,0.0,top
R108,156.875,-110.015,180.0,top
R109,157.0,-123.715,0.0,top
R11,87.64,-80.43,0.0,top
R110,210.99,-80.49,0.0,top
R111,211.265,-66.59,180.0,top
R12,80.64,-80.43,0.0,top
R14,87.45,-66.6,180.0,top
R15,80.45,-66.6,180.0,top
R17,99.845,-90.6025,270.0,top
R18,136.97,-90.5025,270.0,top
R19,97.110331,-90.6025,270.0,top
R2,187.435,-110.93,0.0,top
R20,142.045,-90.5025,270.0,top
R21,94.495,-90.6025,270.0,top
R22,134.42,-90.5025,270.0,top
R23,91.745,-90.6025,270.0,top
R24,131.92,-90.5025,270.0,top
R25,144.595,-90.5025,270.0,top
R27,139.53,-90.5025,270.0,top
R3,182.835,-110.98,180.0,top
R33,101.64,-80.43,0.0,top
R34,94.64,-80.43,0.0,top
R36,101.45,-66.6,180.0,top
R37,94.45,-66.6,180.0,top
R39,115.64,-80.43,0.0,top
R4,186.96,-121.655,0.0,top
R40,108.64,-80.43,0.0,top
R42,115.45,-66.6,180.0,top
R43,108.45,-66.6,180.0,top
R44,208.915,-113.03,90.0,top
R45,206.375,-115.57,90.0,top
R46,208.915,-118.11,90.0,top
R48,129.64,-80.43,0.0,top
R49,122.64,-80.43,0.0,top
R5,182.81,-121.63,180.0,top
R51,129.45,-66.6,180.0,top
R52,122.45,-66.6,180.0,top
R54,143.595,-80.42,0.0,top
R55,136.595,-80.5,0.0,top
R57,143.595,-66.43,180.0,top
R58,136.595,-66.75,180.0,top
R6,66.64,-80.43,0.0,top
R60,140.22,-123.615,0.0,top
